TimeStamp,Intensity_Left,Pupil_Diameter_Left,Intensity_Right,Pupil_Diameter_Right,GazeOrigin.x,GazeOrigin.y,GazeOrigin.z,GazeDirection.x,GazeDirection.y,GazeDirection.z
0.008,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.016,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.024,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.032,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.04,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.048,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.056,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.064,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.072,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.08,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.088,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.096,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.104,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.112,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.12,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.128,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.136,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.144,0.0,4.00914,0.0,4.255478,23.233185,2.171173,-33.24437,0.006485,0.008347,0.999939
0.152,0.0,4.00914,0.0,4.255478,23.233185,2.171173,-33.24437,0.006485,0.008347,0.999939
0.16,0.0,3.763748,0.0,4.095535,22.58493,2.241226,-33.830963,-0.008972,-0.027298,0.999573
0.168,0.0,3.763748,0.0,4.095535,22.58493,2.241226,-33.830963,-0.008972,-0.027298,0.999573
0.176,0.0,3.933228,0.0,4.19165,-30.453842,0.292297,-30.981522,-0.010651,-0.001205,0.999939
0.184,0.0,3.933228,0.0,4.19165,-30.453842,0.292297,-30.981522,-0.010651,-0.001205,0.999939
0.192,0.0,3.883057,0.0,4.139175,-3.190887,1.125778,-32.021576,-0.009705,-0.000778,0.999939
0.2,0.0,3.883057,0.0,4.139175,-3.190887,1.125778,-32.021576,-0.009705,-0.000778,0.999939
0.208,0.0,3.900513,0.0,4.175797,-22.655579,0.480057,-31.235596,-0.009598,-0.008636,0.999908
0.216,0.0,3.900513,0.0,4.175797,-22.655579,0.480057,-31.235596,-0.009598,-0.008636,0.999908
0.224,0.0,3.918945,0.0,4.075287,-28.836838,0.268661,-31.003876,-0.006866,-0.008148,0.999939
0.232,0.0,3.918945,0.0,4.075287,-28.836838,0.268661,-31.003876,-0.006866,-0.008148,0.999939
0.24,0.0,3.975433,0.0,4.115723,-27.818314,0.307953,-31.127167,-0.010208,-0.005844,0.999924
0.248,0.0,3.975433,0.0,4.115723,-27.818314,0.307953,-31.127167,-0.010208,-0.005844,0.999924
0.256,0.0,3.926437,0.0,4.09906,-2.545425,0.985901,-31.878464,-0.015594,0.00058,0.999878
0.264,0.0,3.926437,0.0,4.09906,-2.545425,0.985901,-31.878464,-0.015594,0.00058,0.999878
0.272,0.0,4.004822,0.0,4.100998,4.402298,1.176315,-32.096619,-0.016632,-0.001099,0.999847
0.28,0.0,4.004822,0.0,4.100998,4.402298,1.176315,-32.096619,-0.016632,-0.001099,0.999847
0.288,0.0,3.902847,0.0,4.062119,8.960358,1.283081,-32.242371,-0.011749,-0.001892,0.999924
0.296,0.0,3.838058,0.0,4.1138,8.638992,1.27269,-32.243317,-0.013687,0.001419,0.999893
0.304,0.0,3.838058,0.0,4.1138,8.638992,1.27269,-32.243317,-0.013687,0.001419,0.999893
0.312,0.0,3.838058,0.0,4.1138,8.638992,1.27269,-32.243317,-0.013687,0.001419,0.999893
0.32,0.0,3.832382,0.0,4.097382,14.054565,1.446304,-32.470169,-0.014252,-0.000427,0.999893
0.328,0.0,3.848694,0.0,4.112656,-27.234543,0.163269,-30.824066,-0.010391,0.00386,0.999924
0.336,0.0,3.848694,0.0,4.112656,-27.234543,0.163269,-30.824066,-0.010391,0.00386,0.999924
0.344,0.0,3.900925,0.0,4.155701,-29.309219,0.09198,-30.730972,-0.01442,-0.000595,0.999893
0.352,0.0,3.900925,0.0,4.155701,-29.309219,0.09198,-30.730972,-0.01442,-0.000595,0.999893
0.36,0.0,3.88858,0.0,4.114197,-27.38681,0.153214,-30.817657,-0.014389,0.001862,0.999893
0.368,0.0,3.88858,0.0,4.114197,-27.38681,0.153214,-30.817657,-0.014389,0.001862,0.999893
0.376,0.0,3.891647,0.0,4.113159,-24.878693,0.231949,-30.93335,-0.013458,0.002472,0.999893
0.384,0.0,3.891647,0.0,4.113159,-24.878693,0.231949,-30.93335,-0.013458,0.002472,0.999893
0.392,0.0,3.900146,0.0,4.112167,-27.154663,0.196457,-30.902542,-0.010834,-0.002716,0.999924
0.4,0.0,3.900146,0.0,4.112167,-27.154663,0.196457,-30.902542,-0.010834,-0.002716,0.999924
0.408,0.0,3.897385,0.0,4.11116,-19.655991,0.411591,-31.167694,-0.010651,-0.000732,0.999939
0.416,0.0,3.897385,0.0,4.11116,-19.655991,0.411591,-31.167694,-0.010651,-0.000732,0.999939
0.424,0.0,3.897736,0.0,4.108902,5.800446,1.126251,-32.003189,-0.014328,0.003143,0.999878
0.432,0.0,3.897736,0.0,4.108902,5.800446,1.126251,-32.003189,-0.014328,0.003143,0.999878
0.44,0.0,3.901886,0.0,4.111832,6.169907,1.103378,-31.90834,-0.013062,0.003433,0.999908
0.448,0.0,3.901886,0.0,4.111832,6.169907,1.103378,-31.90834,-0.013062,0.003433,0.999908
0.456,0.0,3.909729,0.0,4.110535,-27.020355,0.248596,-31.009476,-0.00914,-0.005096,0.999939
0.464,0.0,3.909729,0.0,4.110535,-27.020355,0.248596,-31.009476,-0.00914,-0.005096,0.999939
0.472,0.0,3.908844,0.0,4.108932,-29.665009,0.190201,-30.969772,-0.008621,-0.005447,0.999939
0.48,0.0,3.908844,0.0,4.108932,-29.665009,0.190201,-30.969772,-0.008621,-0.005447,0.999939
0.488,0.0,3.911209,0.0,4.10704,-29.268555,0.215439,-31.040237,-0.006714,-0.004944,0.999954
0.496,0.0,3.7892,0.0,4.04425,-26.433685,0.275665,-31.20755,-0.007233,-0.004517,0.999954
0.504,0.0,3.7892,0.0,4.04425,-26.433685,0.275665,-31.20755,-0.007233,-0.004517,0.999954
0.512,0.0,3.7892,0.0,4.04425,-26.433685,0.275665,-31.20755,-0.007233,-0.004517,0.999954
0.52,0.0,3.854294,0.0,4.056717,6.357086,1.016098,-31.751999,-0.010391,-0.000763,0.999939
0.528,0.0,3.854294,0.0,4.056717,6.357086,1.016098,-31.751999,-0.010391,-0.000763,0.999939
0.536,0.0,3.924637,0.0,4.09819,8.055099,1.039703,-31.752335,-0.011475,0.000839,0.999924
0.544,0.0,3.907257,0.0,4.069504,-2.374161,0.782867,-31.511322,-0.009109,-0.000443,0.999954
0.552,0.0,3.907257,0.0,4.069504,-2.374161,0.782867,-31.511322,-0.009109,-0.000443,0.999954
0.56,0.0,3.907257,0.0,4.072235,-7.465256,0.66069,-31.402191,-0.00618,-0.003571,0.999969
0.568,0.0,3.907257,0.0,4.072235,-7.465256,0.66069,-31.402191,-0.00618,-0.003571,0.999969
0.576,0.0,3.907303,0.0,4.075531,-10.68956,0.584106,-31.33493,-0.005753,-0.005371,0.999954
0.584,0.0,3.907303,0.0,4.075531,-10.68956,0.584106,-31.33493,-0.005753,-0.005371,0.999954
0.592,0.0,3.905014,0.0,4.077591,-4.293198,0.735886,-31.466812,-0.006744,-0.002655,0.999969
0.6,0.0,3.905014,0.0,4.077591,-4.293198,0.735886,-31.466812,-0.006744,-0.002655,0.999969
0.608,0.0,3.905426,0.0,4.076981,-0.242355,0.830856,-31.548706,-0.007233,-0.002197,0.999969
0.616,0.0,3.901749,0.0,4.074188,2.201385,0.886749,-31.604614,-0.00769,-0.000687,0.999969
0.624,0.0,3.901749,0.0,4.074188,2.201385,0.886749,-31.604614,-0.00769,-0.000687,0.999969
0.632,0.0,3.90213,0.0,4.070206,2.121475,0.883011,-31.601624,-0.007751,-0.000549,0.999969
0.64,0.0,3.90213,0.0,4.070206,2.121475,0.883011,-31.601624,-0.007751,-0.000549,0.999969
0.648,0.0,3.904022,0.0,4.066727,2.251343,0.885345,-31.600525,-0.007889,-0.000977,0.999954
0.656,0.0,3.904022,0.0,4.066727,2.251343,0.885345,-31.600525,-0.007889,-0.000977,0.999954
0.664,0.0,3.904022,0.0,4.066727,2.251343,0.885345,-31.600525,-0.007889,-0.000977,0.999954
0.672,0.0,3.904678,0.0,4.064865,1.782547,0.870331,-31.585983,-0.007324,-0.000031,0.999969
0.68,0.0,3.904678,0.0,4.064865,1.782547,0.870331,-31.585983,-0.007324,-0.000031,0.999969
0.688,0.0,3.901886,0.0,4.065155,0.737701,0.845535,-31.565414,-0.007385,0.000214,0.999969
0.696,0.0,3.897995,0.0,4.050034,0.588989,0.838669,-31.562485,-0.007889,0.000916,0.999954
0.704,0.0,3.897995,0.0,4.050034,0.588989,0.838669,-31.562485,-0.007889,0.000916,0.999954
0.712,0.0,3.897995,0.0,4.050034,0.588989,0.838669,-31.562485,-0.007889,0.000916,0.999954
0.72,0.0,3.897888,0.0,4.050278,1.523865,0.859482,-31.567276,-0.007553,0.000488,0.999969
0.728,0.0,3.898727,0.0,4.050568,3.65831,0.908432,-31.607651,-0.007584,0.001541,0.999969
0.736,0.0,3.898727,0.0,4.050568,3.65831,0.908432,-31.607651,-0.007584,0.001541,0.999969
0.744,0.0,3.898544,0.0,4.06752,5.150284,0.940567,-31.627289,-0.008118,0.00206,0.999954
0.752,0.0,3.898544,0.0,4.06752,5.150284,0.940567,-31.627289,-0.008118,0.00206,0.999954
0.76,0.0,3.900742,0.0,4.068481,5.87001,0.95575,-31.63353,-0.00856,0.001495,0.999954
0.768,0.0,3.900742,0.0,4.068481,5.87001,0.95575,-31.63353,-0.00856,0.001495,0.999954
0.776,0.0,3.895309,0.0,4.062393,5.844208,0.954544,-31.631744,-0.008713,0.001373,0.999954
0.784,0.0,3.895309,0.0,4.062393,5.844208,0.954544,-31.631744,-0.008713,0.001373,0.999954
0.792,0.0,3.871613,0.0,4.086731,4.912308,0.974731,-31.692261,-0.010056,0.000839,0.999939
0.8,0.0,3.871613,0.0,4.086731,4.912308,0.974731,-31.692261,-0.010056,0.000839,0.999939
0.808,0.0,3.926086,0.0,4.104645,1.578064,0.961395,-31.717453,-0.008759,0.005463,0.999939
0.816,0.0,3.926086,0.0,4.104645,1.578064,0.961395,-31.717453,-0.008759,0.005463,0.999939
0.824,0.0,3.900604,0.0,4.104736,-3.028946,0.834747,-31.596298,-0.00972,0.004135,0.999939
0.832,0.0,3.900604,0.0,4.104736,-3.028946,0.834747,-31.596298,-0.00972,0.004135,0.999939
0.84,0.0,3.806686,0.0,4.105011,-4.663986,0.793427,-31.545975,-0.010971,0.006058,0.999908
0.848,0.0,3.841309,0.0,4.111542,9.846527,1.113739,-31.818069,-0.014313,0.011688,0.999817
0.856,0.0,3.841309,0.0,4.111542,9.846527,1.113739,-31.818069,-0.014313,0.011688,0.999817
